i,latency_ms,valid,bridge_ram_mb,sys_ram_mb
0,27,true,0,undefined
1,27,true,0,undefined
2,25,true,0,undefined
3,26,true,0,undefined
4,27,true,0,undefined
5,25,true,0,undefined
6,26,true,0,undefined
7,29,true,0,undefined
8,25,true,0,undefined
9,122,true,51,undefined
10,26,true,51,undefined
11,25,true,51,undefined
12,28,true,51,undefined
13,25,true,51,undefined
14,25,true,51,undefined
15,125,true,51,undefined
16,25,true,51,undefined
17,25,true,51,undefined
18,26,true,51,undefined
19,27,true,51,undefined
20,25,true,51,undefined
21,25,true,51,undefined
22,97,true,51,undefined
23,25,true,51,undefined
24,25,true,51,undefined
25,26,true,51,undefined
26,25,true,51,undefined
27,25,true,51,undefined
28,25,true,51,undefined
29,115,true,51,undefined
30,25,true,51,undefined
31,25,true,51,undefined
32,25,true,51,undefined
33,27,true,51,undefined
34,26,true,51,undefined
35,100,true,51,undefined
36,25,true,51,undefined
37,24,true,51,undefined
38,25,true,51,undefined
39,25,true,51,undefined
40,24,true,51,undefined
41,25,true,51,undefined
42,108,true,51,undefined
43,28,true,51,undefined
44,25,true,51,undefined
45,26,true,51,undefined
46,25,true,51,undefined
47,25,true,51,undefined
48,25,true,51,undefined
49,99,true,51,undefined
50,24,true,51,undefined
51,25,true,51,undefined
52,25,true,51,undefined
53,25,true,51,undefined
54,25,true,51,undefined
55,26,true,51,undefined
56,97,true,51,undefined
57,25,true,51,undefined
58,25,true,51,undefined
59,25,true,51,undefined
60,25,true,51,undefined
61,25,true,51,undefined
62,25,true,51,undefined
63,104,true,51,undefined
64,24,true,51,undefined
65,24,true,51,undefined
66,25,true,51,undefined
67,25,true,51,undefined
68,25,true,51,undefined
69,25,true,51,undefined
70,108,true,51,undefined
71,37,true,51,undefined
72,25,true,51,undefined
73,25,true,51,undefined
74,25,true,51,undefined
75,28,true,51,undefined
76,114,true,51,undefined
77,28,true,51,undefined
78,26,true,51,undefined
79,26,true,51,undefined
80,25,true,51,undefined
81,25,true,51,undefined
82,26,true,51,undefined
83,107,true,51,undefined
84,25,true,51,undefined
85,25,true,51,undefined
86,24,true,51,undefined
87,25,true,51,undefined
88,25,true,51,undefined
89,25,true,51,undefined
90,105,true,51,undefined
91,24,true,51,undefined
92,24,true,51,undefined
93,25,true,51,undefined
94,25,true,51,undefined
95,25,true,51,undefined
96,24,true,51,undefined
97,110,true,51,undefined
98,25,true,51,undefined
99,25,true,51,undefined
100,26,true,51,undefined
101,25,true,51,undefined
102,25,true,51,undefined
103,29,true,51,undefined
104,117,true,51,undefined
105,26,true,51,undefined
106,25,true,51,undefined
107,29,true,51,undefined
108,25,true,51,undefined
109,26,true,51,undefined
110,105,true,51,undefined
111,25,true,51,undefined
112,25,true,51,undefined
113,25,true,51,undefined
114,24,true,51,undefined
115,25,true,51,undefined
116,25,true,51,undefined
117,110,true,51,undefined
118,25,true,51,undefined
119,25,true,51,undefined
120,25,true,51,undefined
121,25,true,51,undefined
122,24,true,51,undefined
123,25,true,51,undefined
124,106,true,51,undefined
125,25,true,51,undefined
126,25,true,51,undefined
127,25,true,51,undefined
128,24,true,51,undefined
129,26,true,51,undefined
130,25,true,51,undefined
131,106,true,46,undefined
132,25,true,46,undefined
133,25,true,46,undefined
134,25,true,46,undefined
135,25,true,46,undefined
136,25,true,46,undefined
137,29,true,46,undefined
138,115,true,46,undefined
139,25,true,46,undefined
140,24,true,46,undefined
141,24,true,46,undefined
142,27,true,46,undefined
143,24,true,46,undefined
144,105,true,46,undefined
145,24,true,46,undefined
146,24,true,46,undefined
147,25,true,46,undefined
148,25,true,46,undefined
149,29,true,46,undefined
150,25,true,46,undefined
151,98,true,46,undefined
152,25,true,46,undefined
153,26,true,46,undefined
154,24,true,46,undefined
155,25,true,46,undefined
156,25,true,46,undefined
157,26,true,46,undefined
158,109,true,46,undefined
159,25,true,46,undefined
160,25,true,46,undefined
161,25,true,46,undefined
162,25,true,46,undefined
163,25,true,46,undefined
164,24,true,46,undefined
165,102,true,46,undefined
166,29,true,46,undefined
167,26,true,46,undefined
168,26,true,46,undefined
169,27,true,46,undefined
170,25,true,46,undefined
171,25,true,46,undefined
172,120,true,46,undefined
173,25,true,46,undefined
174,24,true,46,undefined
175,24,true,46,undefined
176,25,true,46,undefined
177,24,true,46,undefined
178,99,true,46,undefined
179,32,true,46,undefined
180,25,true,46,undefined
181,26,true,46,undefined
182,25,true,46,undefined
183,27,true,46,undefined
184,26,true,46,undefined
185,117,true,46,undefined
186,25,true,46,undefined
187,23,true,46,undefined
188,24,true,46,undefined
189,27,true,46,undefined
190,24,true,46,undefined
191,105,true,46,undefined
192,24,true,46,undefined
193,24,true,46,undefined
194,24,true,46,undefined
195,25,true,46,undefined
196,24,true,46,undefined
197,24,true,46,undefined
198,24,true,46,undefined
199,116,true,46,undefined
