i,latency_ms,valid,bridge_cpu,bridge_ram_mb
0,41,false,0,0
1,25,false,0,0
2,26,false,0,0
3,28,false,0,0
4,31,false,0,0
5,33,false,0,0
6,36,false,0,0
7,38,false,0,0
8,41,false,0,0
9,43,false,0,0
10,47,false,0,0
11,49,false,0,0
12,52,false,0,0
13,55,false,0,0
14,56,false,0,0
15,59,false,0,0
16,61,false,0,0
17,64,false,0,0
18,66,false,0,0
19,69,false,0,0
20,57,false,0,0
21,58,false,0,0
22,60,false,0,0
23,59,false,0,0
24,59,false,0,0
25,59,false,0,0
26,58,false,0,0
27,59,false,0,0
28,59,false,0,0
29,57,false,0,0
30,56,false,0,0
31,57,false,0,0
32,56,false,0,0
33,56,false,0,0
34,56,false,0,0
35,55,false,0,0
36,56,false,0,0
37,55,false,0,0
38,55,false,0,0
39,57,false,0,0
40,54,false,0,0
41,55,false,0,0
42,55,false,0,0
43,201,false,0,52
44,200,false,0,52
45,198,false,0,52
46,196,false,0,52
47,195,false,0,52
48,194,false,0,52
49,191,false,0,52
50,190,false,0,52
51,188,false,0,52
52,186,false,0,52
53,184,false,0,52
54,182,false,0,52
55,181,false,0,52
56,178,false,0,52
57,177,false,0,52
58,174,false,0,52
59,171,false,0,52
60,168,false,0,52
61,167,false,0,52
62,161,false,0,52
63,24,false,0,52
64,26,false,0,52
65,28,false,0,52
66,30,false,0,52
67,30,false,0,52
68,32,false,0,52
69,33,false,0,52
70,36,false,0,52
71,38,false,0,52
72,40,false,0,52
73,42,false,0,52
74,44,false,0,52
75,46,false,0,52
76,47,false,0,52
77,49,false,0,52
78,144,false,0,52
79,143,false,0,52
80,143,false,0,52
81,144,false,0,52
82,137,false,0,52
83,134,false,0,52
84,133,false,0,52
85,131,false,0,52
86,129,false,0,52
87,127,false,0,52
88,126,false,0,52
89,123,false,0,52
90,121,false,0,52
91,120,false,0,52
92,117,false,0,52
93,115,false,0,52
94,114,false,0,52
95,112,false,0,52
96,110,false,0,52
97,114,false,0,52
98,21,false,0,52
99,23,false,0,52
100,25,false,0,52
101,29,false,0,52
102,30,false,0,52
103,40,false,0,52
104,67,true,0,52
105,90,true,0,52
106,193,true,0,52
107,194,true,0,52
108,194,true,0,52
109,195,true,0,52
110,216,true,0,52
111,239,true,0,52
112,261,true,0,52
113,286,true,0,52
114,391,true,0,52
115,391,true,0,52
116,391,true,0,52
117,389,true,0,52
118,408,true,0,52
119,430,true,0,52
120,449,true,0,52
121,468,true,0,52
122,578,true,0,52
123,568,true,0,52
124,541,true,0,52
125,518,true,0,52
126,425,true,0,52
127,448,true,0,52
128,470,true,0,52
129,491,true,0,52
130,587,true,0,52
131,564,true,0,52
132,542,true,0,52
133,518,true,0,52
134,413,true,0,52
135,438,true,0,52
136,460,true,0,52
137,480,true,0,52
138,480,true,0,52
139,562,true,0,52
140,541,true,0,52
141,518,true,0,52
142,408,true,0,52
143,426,true,0,52
144,449,true,0,52
145,472,true,0,52
146,482,true,0,52
147,574,true,0,52
148,553,true,0,52
149,530,true,0,52
150,413,true,0,52
151,416,true,0,52
152,438,true,0,52
153,460,true,0,52
154,481,true,0,52
155,480,true,0,52
156,575,true,0,52
157,552,true,0,52
158,530,true,0,52
159,425,true,0,52
160,427,true,0,52
161,450,true,0,52
162,473,true,0,52
163,477,true,0,52
164,478,true,0,52
165,562,true,0,52
166,540,true,0,52
167,426,true,0,52
168,426,true,0,52
169,437,true,0,52
170,460,true,0,52
171,480,true,0,52
172,488,true,0,52
173,578,true,0,52
174,556,true,0,52
175,534,true,0,52
176,416,true,0,52
177,424,true,0,52
178,445,true,0,52
179,468,true,0,52
180,488,true,0,52
181,487,true,0,52
182,580,true,0,52
183,557,true,0,52
184,534,true,0,52
185,427,true,0,52
186,433,true,0,52
187,457,true,0,52
188,478,true,0,52
189,489,true,0,52
190,490,true,0,52
191,565,true,0,52
192,535,true,0,52
193,422,true,0,52
194,432,true,0,52
195,456,true,0,52
196,477,true,0,52
197,493,true,0,52
198,585,true,0,52
199,562,true,0,52
200,541,true,0,52
201,516,true,0,52
202,405,true,0,52
203,428,true,0,52
204,449,true,0,52
205,473,true,0,52
206,486,true,0,52
207,573,true,0,52
208,552,true,0,52
209,529,true,0,52
210,507,true,0,52
211,419,true,0,52
212,441,true,0,52
213,472,true,0,52
214,618,true,0,52
215,595,true,0,52
216,572,true,0,52
217,549,true,0,52
218,448,true,0,52
219,474,true,0,52
