i,latency_ms,valid,bridge_ram_mb,sys_ram_mb
0,21,false,51,undefined
1,28,true,51,undefined
2,3,false,51,undefined
3,3,false,51,undefined
4,3,true,51,undefined
5,3,true,51,undefined
6,3,false,51,undefined
7,3,false,51,undefined
8,94,false,54,undefined
9,3,false,54,undefined
10,2,false,54,undefined
11,2,false,54,undefined
12,3,false,54,undefined
13,2,true,54,undefined
14,2,true,54,undefined
15,2,false,54,undefined
16,3,true,54,undefined
17,2,false,54,undefined
18,3,false,54,undefined
19,2,false,54,undefined
20,2,false,54,undefined
21,3,false,54,undefined
22,2,false,54,undefined
23,2,true,54,undefined
24,2,true,54,undefined
25,2,false,54,undefined
26,1,false,54,undefined
27,2,false,54,undefined
28,2,true,54,undefined
29,2,false,54,undefined
30,2,false,54,undefined
31,2,true,54,undefined
32,2,false,54,undefined
33,4,true,54,undefined
34,3,false,54,undefined
35,4,false,54,undefined
36,2,false,54,undefined
37,2,false,54,undefined
38,2,false,54,undefined
39,2,false,54,undefined
40,2,false,54,undefined
41,2,true,54,undefined
42,2,false,54,undefined
43,2,false,54,undefined
44,2,false,54,undefined
45,2,false,54,undefined
46,2,false,54,undefined
47,2,true,54,undefined
48,111,false,54,undefined
49,2,false,54,undefined
50,2,false,54,undefined
51,2,true,54,undefined
52,2,false,54,undefined
53,2,false,54,undefined
54,2,false,54,undefined
55,2,true,54,undefined
56,2,true,54,undefined
57,2,false,54,undefined
58,2,false,54,undefined
59,2,true,54,undefined
60,2,false,54,undefined
61,2,false,54,undefined
62,2,false,54,undefined
63,2,false,54,undefined
64,2,true,54,undefined
65,1,false,54,undefined
66,2,false,54,undefined
67,2,false,54,undefined
68,2,false,54,undefined
69,2,false,54,undefined
70,2,false,54,undefined
71,2,true,54,undefined
72,1,true,54,undefined
73,1,false,54,undefined
74,2,false,54,undefined
75,2,false,54,undefined
76,2,false,54,undefined
77,2,false,54,undefined
78,2,false,54,undefined
79,2,false,54,undefined
80,2,false,54,undefined
81,2,false,54,undefined
82,2,false,54,undefined
83,2,false,54,undefined
84,2,false,54,undefined
85,2,false,54,undefined
86,2,false,54,undefined
87,2,false,54,undefined
88,2,true,54,undefined
89,2,true,54,undefined
90,2,false,54,undefined
91,101,false,56,undefined
92,2,false,56,undefined
93,2,true,56,undefined
94,2,false,56,undefined
95,2,false,56,undefined
96,2,false,56,undefined
97,2,true,56,undefined
98,2,false,56,undefined
99,2,false,56,undefined
100,2,false,56,undefined
101,1,false,56,undefined
102,1,false,56,undefined
103,1,false,56,undefined
104,1,true,56,undefined
105,1,false,56,undefined
106,1,false,56,undefined
107,2,false,56,undefined
108,2,false,56,undefined
109,2,true,56,undefined
110,2,false,56,undefined
111,2,true,56,undefined
112,2,false,56,undefined
113,1,false,56,undefined
114,2,true,56,undefined
115,2,false,56,undefined
116,2,false,56,undefined
117,2,false,56,undefined
118,3,true,56,undefined
119,2,true,56,undefined
120,2,false,56,undefined
121,2,false,56,undefined
122,2,true,56,undefined
123,2,true,56,undefined
124,2,false,56,undefined
125,2,false,56,undefined
126,2,false,56,undefined
127,2,false,56,undefined
128,2,true,56,undefined
129,2,false,56,undefined
130,2,true,56,undefined
131,2,false,56,undefined
132,2,true,56,undefined
133,2,false,56,undefined
134,2,true,56,undefined
135,2,false,56,undefined
136,2,true,56,undefined
137,2,true,56,undefined
138,95,true,66,undefined
139,1,false,66,undefined
140,1,false,66,undefined
141,2,false,66,undefined
142,2,true,66,undefined
143,2,true,66,undefined
144,2,true,66,undefined
145,2,false,66,undefined
146,2,false,66,undefined
147,2,false,66,undefined
148,2,false,66,undefined
149,2,false,66,undefined
150,2,false,66,undefined
151,2,false,66,undefined
152,1,false,66,undefined
153,1,false,66,undefined
154,1,false,66,undefined
155,1,false,66,undefined
156,2,false,66,undefined
157,2,false,66,undefined
158,2,false,66,undefined
159,2,false,66,undefined
160,2,false,66,undefined
161,2,false,66,undefined
162,2,true,66,undefined
163,2,false,66,undefined
164,2,true,66,undefined
165,2,false,66,undefined
166,2,true,66,undefined
167,2,false,66,undefined
168,2,true,66,undefined
169,2,false,66,undefined
170,3,false,66,undefined
171,1,false,66,undefined
172,2,false,66,undefined
173,2,false,66,undefined
174,2,true,66,undefined
175,2,true,66,undefined
176,2,true,66,undefined
177,2,false,66,undefined
178,2,true,66,undefined
179,2,false,66,undefined
180,2,false,66,undefined
181,1,false,66,undefined
182,1,false,66,undefined
183,1,false,66,undefined
184,1,false,66,undefined
185,2,false,66,undefined
186,2,false,66,undefined
187,2,false,66,undefined
188,2,false,66,undefined
189,2,true,66,undefined
190,1,false,66,undefined
191,1,false,66,undefined
192,96,true,66,undefined
193,2,false,66,undefined
194,2,false,66,undefined
195,2,true,66,undefined
196,2,true,66,undefined
197,2,true,66,undefined
198,2,false,66,undefined
199,2,true,66,undefined
