i,latency_ms,valid,bridge_ram_mb,sys_ram_mb
0,29,true,0,undefined
1,27,true,0,undefined
2,29,true,0,undefined
3,27,true,0,undefined
4,28,true,0,undefined
5,30,true,0,undefined
6,28,true,0,undefined
7,28,true,0,undefined
8,132,true,51,undefined
9,28,true,51,undefined
10,28,true,51,undefined
11,30,true,51,undefined
12,37,true,51,undefined
13,27,true,51,undefined
14,120,true,51,undefined
15,28,true,51,undefined
16,29,true,51,undefined
17,26,true,51,undefined
18,26,true,51,undefined
19,26,true,51,undefined
20,119,true,51,undefined
21,26,true,51,undefined
22,28,true,51,undefined
23,26,true,51,undefined
24,27,true,51,undefined
25,116,true,51,undefined
26,27,true,51,undefined
27,26,true,51,undefined
28,28,true,51,undefined
29,27,true,51,undefined
30,27,true,51,undefined
31,113,true,51,undefined
32,27,true,51,undefined
33,26,true,51,undefined
34,28,true,51,undefined
35,26,true,51,undefined
36,28,true,51,undefined
37,26,true,51,undefined
38,118,true,51,undefined
39,27,true,51,undefined
40,26,true,51,undefined
41,26,true,51,undefined
42,26,true,51,undefined
43,26,true,51,undefined
44,116,true,51,undefined
45,25,true,51,undefined
46,26,true,51,undefined
47,26,true,51,undefined
48,26,true,51,undefined
49,26,true,51,undefined
50,101,true,51,undefined
51,26,true,51,undefined
52,26,true,51,undefined
53,26,true,51,undefined
54,26,true,51,undefined
55,29,true,51,undefined
56,120,true,51,undefined
57,26,true,51,undefined
58,26,true,51,undefined
59,27,true,51,undefined
60,26,true,51,undefined
61,26,true,51,undefined
62,26,true,51,undefined
63,117,true,51,undefined
64,26,true,51,undefined
65,26,true,51,undefined
66,26,true,51,undefined
67,26,true,51,undefined
68,26,true,51,undefined
69,101,true,51,undefined
70,26,true,51,undefined
71,27,true,51,undefined
72,26,true,51,undefined
73,27,true,51,undefined
74,26,true,51,undefined
75,27,true,51,undefined
76,120,true,51,undefined
77,37,true,51,undefined
78,26,true,51,undefined
79,26,true,51,undefined
80,28,true,51,undefined
81,112,true,51,undefined
82,26,true,51,undefined
83,28,true,51,undefined
84,25,true,51,undefined
85,26,true,51,undefined
86,26,true,51,undefined
87,27,true,51,undefined
88,116,true,51,undefined
89,25,true,51,undefined
90,25,true,51,undefined
91,28,true,51,undefined
92,26,true,51,undefined
93,26,true,51,undefined
94,97,true,51,undefined
95,26,true,51,undefined
96,26,true,51,undefined
97,26,true,51,undefined
98,26,true,51,undefined
99,26,true,51,undefined
100,25,true,51,undefined
101,115,true,51,undefined
102,26,true,51,undefined
103,26,true,51,undefined
104,27,true,51,undefined
105,27,true,51,undefined
106,26,true,51,undefined
107,122,true,51,undefined
108,26,true,51,undefined
109,28,true,51,undefined
110,27,true,51,undefined
111,26,true,51,undefined
112,27,true,51,undefined
113,121,true,51,undefined
114,27,true,51,undefined
115,26,true,51,undefined
116,26,true,51,undefined
117,26,true,51,undefined
118,29,true,51,undefined
119,117,true,46,undefined
120,26,true,46,undefined
121,26,true,46,undefined
122,26,true,46,undefined
123,26,true,46,undefined
124,26,true,46,undefined
125,106,true,46,undefined
126,27,true,46,undefined
127,26,true,46,undefined
128,25,true,46,undefined
129,26,true,46,undefined
130,29,true,46,undefined
131,124,true,46,undefined
132,26,true,46,undefined
133,27,true,46,undefined
134,26,true,46,undefined
135,26,true,46,undefined
136,26,true,46,undefined
137,27,true,46,undefined
138,115,true,46,undefined
139,27,true,46,undefined
140,26,true,46,undefined
141,26,true,46,undefined
142,26,true,46,undefined
143,26,true,46,undefined
144,105,true,46,undefined
145,26,true,46,undefined
146,26,true,46,undefined
147,27,true,46,undefined
148,26,true,46,undefined
149,27,true,46,undefined
150,25,true,46,undefined
151,116,true,46,undefined
152,26,true,46,undefined
153,38,true,46,undefined
154,26,true,46,undefined
155,28,true,46,undefined
156,115,true,46,undefined
157,26,true,46,undefined
158,26,true,46,undefined
159,27,true,46,undefined
160,26,true,46,undefined
161,26,true,46,undefined
162,25,true,46,undefined
163,119,true,46,undefined
164,27,true,46,undefined
165,26,true,46,undefined
166,25,true,46,undefined
167,27,true,46,undefined
168,28,true,46,undefined
169,120,true,46,undefined
170,25,true,46,undefined
171,26,true,46,undefined
172,30,true,46,undefined
173,26,true,46,undefined
174,26,true,46,undefined
175,114,true,46,undefined
176,26,true,46,undefined
177,32,true,46,undefined
178,27,true,46,undefined
179,26,true,46,undefined
180,26,true,46,undefined
181,123,true,46,undefined
182,26,true,46,undefined
183,26,true,46,undefined
184,26,true,46,undefined
185,26,true,46,undefined
186,26,true,46,undefined
187,118,true,46,undefined
188,26,true,46,undefined
189,27,true,46,undefined
190,26,true,46,undefined
191,26,true,46,undefined
192,26,true,46,undefined
193,117,true,46,undefined
194,26,true,46,undefined
195,26,true,46,undefined
196,25,true,46,undefined
197,26,true,46,undefined
198,26,true,46,undefined
199,100,true,46,undefined
