i,latency_ms,valid,bridge_ram_mb,system_ram_mb
0,6,true,0,
1,8,true,0,
2,8,true,0,
3,9,true,0,
4,10,true,0,
5,11,true,0,
6,12,true,0,
7,12,true,0,
8,14,true,0,
9,15,true,0,
10,12,true,0,
11,13,true,0,
12,13,true,0,
13,13,true,0,
14,14,true,0,
15,15,true,0,
16,15,true,0,
17,15,true,0,
18,14,true,0,
19,14,true,0,
20,16,true,0,
21,15,true,0,
22,15,true,0,
23,14,true,0,
24,14,true,0,
25,14,true,0,
26,14,true,0,
27,12,true,0,
28,11,true,0,
29,12,true,0,
30,12,true,0,
31,12,true,0,
32,11,true,0,
33,12,true,0,
34,13,true,0,
35,13,true,0,
36,12,true,0,
37,12,true,0,
38,13,true,0,
39,12,true,0,
40,14,true,0,
41,14,true,0,
42,12,true,0,
43,12,true,0,
44,12,true,0,
45,12,true,0,
46,12,true,0,
47,13,true,0,
48,13,true,0,
49,14,true,0,
50,12,true,0,
51,12,true,0,
52,12,true,0,
53,14,true,0,
54,12,true,0,
55,11,true,0,
56,12,true,0,
57,12,true,0,
58,12,true,0,
59,11,true,0,
60,12,true,0,
61,12,true,0,
62,11,true,0,
63,12,true,0,
64,12,true,0,
65,13,true,0,
66,15,true,0,
67,15,true,0,
68,14,true,0,
69,14,true,0,
70,12,true,0,
71,13,true,0,
72,13,true,0,
73,13,true,0,
74,12,true,0,
75,12,true,0,
76,12,true,0,
77,12,true,0,
78,12,true,0,
79,13,true,0,
80,13,true,0,
81,13,true,0,
82,13,true,0,
83,13,true,0,
84,13,true,0,
85,13,true,0,
86,11,true,0,
87,11,true,0,
88,12,true,0,
89,12,true,0,
90,11,true,0,
91,12,true,0,
92,12,true,0,
93,11,true,0,
94,11,true,0,
95,12,true,0,
96,11,true,0,
97,13,true,0,
98,13,true,0,
99,13,true,0,
100,13,true,0,
101,13,true,0,
102,12,true,0,
103,13,true,0,
104,13,true,0,
105,11,true,0,
106,11,true,0,
107,11,true,0,
108,12,true,0,
109,12,true,0,
110,13,true,0,
111,13,true,0,
112,13,true,0,
113,12,true,0,
114,121,true,58,
115,121,true,58,
116,121,true,58,
117,121,true,58,
118,121,true,58,
119,121,true,58,
120,122,true,58,
121,122,true,58,
122,123,true,58,
123,123,true,58,
124,14,true,58,
125,14,true,58,
126,14,true,58,
127,12,true,58,
128,12,true,58,
129,12,true,58,
130,13,true,58,
131,13,true,58,
132,13,true,58,
133,13,true,58,
134,11,true,58,
135,11,true,58,
136,13,true,58,
137,13,true,58,
138,13,true,58,
139,12,true,58,
140,11,true,58,
141,11,true,58,
142,11,true,58,
143,12,true,58,
144,11,true,58,
145,112,true,58,
146,112,true,58,
147,112,true,58,
148,112,true,58,
149,112,true,58,
150,112,true,58,
151,112,true,58,
152,112,true,58,
153,112,true,58,
154,111,true,58,
155,10,true,58,
156,11,true,58,
157,11,true,58,
158,9,true,58,
159,10,true,58,
160,12,true,58,
161,12,true,58,
162,12,true,58,
163,11,true,58,
164,13,true,58,
165,13,true,58,
166,12,true,58,
167,12,true,58,
168,12,true,58,
169,13,true,58,
170,12,true,58,
171,12,true,58,
172,12,true,58,
173,12,true,58,
174,13,true,58,
175,13,true,58,
176,13,true,58,
177,14,true,58,
178,13,true,58,
179,14,true,58,
180,13,true,58,
181,13,true,58,
182,13,true,58,
183,12,true,58,
184,11,true,58,
185,12,true,58,
186,12,true,58,
187,11,true,58,
188,117,true,58,
189,117,true,58,
190,118,true,58,
191,118,true,58,
192,119,true,58,
193,117,true,58,
194,119,true,58,
195,118,true,58,
196,118,true,58,
197,118,true,58,
198,11,true,58,
199,13,true,58,
200,11,true,58,
201,11,true,58,
202,11,true,58,
203,11,true,58,
204,10,true,58,
205,10,true,58,
206,11,true,58,
207,11,true,58,
208,12,true,58,
209,12,true,58,
210,13,true,58,
211,13,true,58,
212,13,true,58,
213,14,true,58,
214,13,true,58,
215,14,true,58,
216,14,true,58,
217,14,true,58,
218,13,true,58,
219,13,true,58,
220,13,true,58,
221,13,true,58,
222,13,true,58,
223,114,true,60,
224,114,true,60,
225,112,true,60,
226,113,true,60,
227,111,true,60,
228,112,true,60,
229,112,true,60,
230,112,true,60,
231,112,true,60,
232,112,true,60,
233,10,true,60,
234,11,true,60,
235,12,true,60,
236,11,true,60,
237,11,true,60,
238,12,true,60,
239,13,true,60,
240,12,true,60,
241,11,true,60,
242,11,true,60,
243,10,true,60,
244,11,true,60,
245,11,true,60,
246,10,true,60,
247,11,true,60,
248,11,true,60,
249,10,true,60,
250,11,true,60,
251,11,true,60,
252,11,true,60,
253,12,true,60,
254,12,true,60,
255,12,true,60,
256,12,true,60,
257,12,true,60,
258,12,true,60,
259,12,true,60,
260,11,true,60,
261,11,true,60,
262,11,true,60,
263,11,true,60,
264,9,true,60,
265,10,true,60,
266,10,true,60,
267,10,true,60,
268,9,true,60,
269,11,true,60,
270,112,true,61,
271,113,true,61,
272,113,true,61,
273,113,true,61,
274,112,true,61,
275,113,true,61,
276,113,true,61,
277,113,true,61,
278,113,true,61,
279,112,true,61,
280,12,true,61,
281,13,true,61,
282,13,true,61,
283,13,true,61,
284,14,true,61,
285,13,true,61,
286,13,true,61,
287,14,true,61,
288,13,true,61,
289,14,true,61,
290,11,true,61,
291,11,true,61,
292,11,true,61,
293,11,true,61,
294,9,true,61,
295,9,true,61,
296,9,true,61,
297,9,true,61,
298,8,true,61,
299,8,true,61,
