i,latency_ms,valid,bridge_ram_mb,system_ram_mb
0,8,false,0,
1,10,false,0,
2,11,false,0,
3,10,false,0,
4,11,false,0,
5,12,false,0,
6,13,false,0,
7,13,false,0,
8,17,false,0,
9,16,false,0,
10,17,false,0,
11,18,false,0,
12,18,false,0,
13,19,false,0,
14,20,false,0,
15,20,false,0,
16,20,false,0,
17,20,false,0,
18,21,false,0,
19,22,false,0,
20,21,false,0,
21,21,false,0,
22,21,false,0,
23,21,false,0,
24,21,false,0,
25,22,false,0,
26,22,false,0,
27,21,false,0,
28,22,false,0,
29,22,false,0,
30,23,false,0,
31,23,false,0,
32,23,false,0,
33,25,false,0,
34,25,false,0,
35,26,false,0,
36,25,false,0,
37,26,false,0,
38,26,false,0,
39,25,false,0,
40,24,false,0,
41,24,false,0,
42,23,false,0,
43,24,false,0,
44,24,false,0,
45,25,false,0,
46,36,false,0,
47,36,false,0,
48,37,false,0,
49,37,false,0,
50,37,false,0,
51,36,false,0,
52,36,false,0,
53,36,false,0,
54,35,false,0,
55,35,false,0,
56,35,false,0,
57,35,false,0,
58,34,false,0,
59,35,false,0,
60,34,false,0,
61,34,false,0,
62,34,false,0,
63,36,false,0,
64,34,false,0,
65,23,false,0,
66,23,false,0,
67,23,false,0,
68,21,false,0,
69,22,false,0,
70,21,false,0,
71,21,false,0,
72,22,false,0,
73,21,false,0,
74,21,false,0,
75,22,false,0,
76,22,false,0,
77,21,false,0,
78,22,false,0,
79,22,false,0,
80,22,false,0,
81,23,false,0,
82,23,false,0,
83,21,false,0,
84,22,false,0,
85,22,false,0,
86,22,false,0,
87,21,false,0,
88,22,false,0,
89,22,false,0,
90,22,false,0,
91,23,false,0,
92,23,false,0,
93,23,false,0,
94,23,false,0,
95,23,false,0,
96,23,false,0,
97,23,false,0,
98,23,false,0,
99,22,false,0,
100,20,false,0,
101,20,false,0,
102,19,false,0,
103,23,false,0,
104,21,false,0,
105,21,false,0,
106,21,false,0,
107,20,false,0,
108,20,false,0,
109,20,false,0,
110,21,false,0,
111,20,false,0,
112,20,false,0,
113,20,false,0,
114,20,false,0,
115,20,false,0,
116,20,false,0,
117,21,false,0,
118,21,false,0,
119,127,false,50,
120,128,false,50,
121,128,false,50,
122,127,false,50,
123,125,false,50,
124,125,false,50,
125,125,false,50,
126,125,false,50,
127,124,false,50,
128,124,false,50,
129,125,false,50,
130,125,false,50,
131,125,false,50,
132,125,false,50,
133,125,false,50,
134,125,false,50,
135,125,false,50,
136,132,false,50,
137,130,false,50,
138,130,false,50,
139,23,false,50,
140,24,false,50,
141,24,false,50,
142,23,false,50,
143,24,false,50,
144,24,false,50,
145,25,false,50,
146,24,false,50,
147,24,false,50,
148,25,false,50,
149,25,false,50,
150,25,false,50,
151,25,false,50,
152,25,false,50,
153,25,false,50,
154,27,false,50,
155,26,false,50,
156,22,false,50,
157,21,false,50,
158,21,false,50,
159,22,false,50,
160,21,false,50,
161,21,false,50,
162,21,false,50,
163,21,false,50,
164,21,false,50,
165,21,false,50,
166,21,false,50,
167,138,false,50,
168,137,false,50,
169,137,false,50,
170,137,false,50,
171,137,false,50,
172,137,false,50,
173,137,false,50,
174,137,false,50,
175,138,false,50,
176,137,false,50,
177,137,false,50,
178,139,false,50,
179,139,false,50,
180,139,false,50,
181,141,false,50,
182,140,false,50,
183,141,false,50,
184,140,false,50,
185,139,false,50,
186,140,false,50,
187,24,false,50,
188,23,false,50,
189,24,false,50,
190,24,false,50,
191,24,false,50,
192,25,false,50,
193,25,false,50,
194,24,false,50,
195,22,false,50,
196,23,false,50,
197,23,false,50,
198,22,false,50,
199,127,false,50,
200,126,false,50,
201,126,false,50,
202,127,false,50,
203,126,false,50,
204,127,false,50,
205,127,false,50,
206,128,false,50,
207,128,false,50,
208,127,false,50,
209,127,false,50,
210,127,false,50,
211,127,false,50,
212,127,false,50,
213,126,false,50,
214,126,false,50,
215,127,false,50,
216,128,false,50,
217,129,false,50,
218,129,false,50,
219,24,false,50,
220,24,false,50,
221,24,false,50,
222,24,false,50,
223,24,false,50,
224,23,false,50,
225,23,false,50,
226,22,false,50,
227,22,false,50,
228,21,false,50,
229,21,false,50,
230,21,false,50,
231,21,false,50,
232,21,false,50,
233,22,false,50,
234,23,false,50,
235,24,false,50,
236,21,false,50,
237,21,false,50,
238,21,false,50,
239,20,false,50,
240,20,false,50,
241,19,false,50,
242,20,false,50,
243,20,false,50,
244,20,false,50,
245,20,false,50,
246,20,false,50,
247,20,false,50,
248,132,false,50,
249,132,false,50,
250,132,false,50,
251,131,false,50,
252,130,false,50,
253,130,false,50,
254,131,false,50,
255,132,false,50,
256,132,false,50,
257,132,false,50,
258,132,false,50,
259,132,false,50,
260,132,false,50,
261,132,false,50,
262,132,false,50,
263,132,false,50,
264,132,false,50,
265,132,false,50,
266,132,false,50,
267,133,false,50,
268,22,false,50,
269,22,false,50,
270,22,false,50,
271,22,false,50,
272,23,false,50,
273,23,false,50,
274,22,false,50,
275,21,false,50,
276,21,false,50,
277,22,false,50,
278,22,false,50,
279,21,false,50,
280,22,false,50,
281,22,false,50,
282,23,false,50,
283,22,false,50,
284,21,false,50,
285,20,false,50,
286,21,false,50,
287,22,false,50,
288,18,false,50,
289,18,false,50,
290,136,false,46,
291,134,false,46,
292,134,false,46,
293,134,false,46,
294,134,false,46,
295,132,false,46,
296,131,false,46,
297,132,false,46,
298,131,false,46,
299,131,false,46,
